Full Name,Author IDs
konrad kording,"['150174214', '117802858', '3282030', '2125917123']"
jonathan pillow,"['122413326', '2066071995', '1791723', '104134819', '143781849', '92508794']"
jakob macke,"['81550838', '1748468', '120371668', '1825793727']"
alex gomez-marin,[]
roozbeh kiani,"['2050606', '50018291', '81827077', '147248542']"
daniel butts,"['3139087', '1589082164', '19302985', '118093394', '6877434']"
matthew smith,"['39842510', '48533852', '2216218071', '2110170245', '2110170382', '2110170037', '2218780507', '2110170643', '2110172941', '2110172803', '2143607586', '2143607411', '2110172959', '2143607773', '2110171215', '2110172393', '2116753077', '2110170565', '2110170782', '2209887462', '2110171573', '2143607475', '2143607641', '2110170064', '48533868', '2110171020', '2110170263', '2110170022', '2110172055', '2157825246', '2110173333', '2143607344', '2110170286', '2110171850', '2118501816', '2116753008', '2218780542', '2209887359', '2110170080', '2143607355', '47021771', '2218780492', '152736753', '2110170815', '2143607530', '2216218058', '2216218042', '2216218181', '2216218140', '2216218147', '2216218081', '2216218056', '2191749445', '2216218107', '48533739', '2209887594', '2216218179', '2110169999', '2110170003', '2110170054', '2143607565', '2143607525', '2110171240', '115693147', '50043983', '2218780534', '2110170435', '2110172992', '2143607370', '2110171057', '2143607226', '152736715', '2192047065', '2143607240', '144161868', '2218780602', '2110170123', '2110172465', '2143607549', '2143607709', '1768423460', '2034556939', '2143607809', '2143607636', '152736607', '2110171697', '2143607655', '152736588', '2143607218', '2110170601', '2110170044', '2110172210', '2143607266', '2110172775', '2216218102', '72370916', '39950056', '50044347', '2149041458', '2110171989']"
philipp berens,['1689077']
reza shadmehr,"['2927174', '2055919700', '116932731']"
il memming park,"['2119263020', '37281027', '2154293292']"
liam paninski,"['1763504', '118318460']"
byron yu,"['3178390', '2182137', '2110313808', '2110313851']"
srinivas turaga,"['3178417', '2092048967']"
laura busse,"['50635941', '2070211833', '4245655', '2154846344', '2107383490']"
robbe goris,['46714220']
carsen stringer,"['23980213', '2143896342']"
ashley petersen,"['2151308301', '145448276', '34712871', '2064339721', '2064340126', '145448275', '1404169328', '2180637210', '2154782893', '2064339658', '2064339949']"
gal mishne,"['2074112750', '24394460']"
marius pachitariu,"['3090784', '2143950094']"
matthew whiteway,['4963042']
jordan rodu,"['2574090', '2121551800', '2139317100']"
alex williams,"['35732732', '1932922887', '2117057552', '79382824', '2116170611', '145234308', '145252270', '2051746606', '46320494', '144437964', '51325809', '7432889', '1943168715', '146221904', '114101276', '1841636734', '2116170618', '11151983', '152622434', '46320594', '113038472', '115136410', '119707417', '1409670868', '1663590141', '2148412883', '2116169877', '2116170473', '46320573', '2212084745', '2216447417', '2138427580', '2055770302', '118609094', '32169580', '144534571', '49529885', '40008040', '151391236', '90962294', '2217204456', '1402769688', '107838133', '2212084737', '2003611920', '2110028565', '1486009514', '2216447419', '120745674', '144652146']"
demba ba,"['137243233', '87047630', '81993773', '77473459', '145004878', '2140914808', '2079977986', '40575006', '89423398', '143860884', '2079977988', '2064096682', '4403958', '2163915709', '2158718294', '2124558376', '79268728']"
jörn diedrichsen,"['2026408239', '2935706', '70528489', '2064674690', '2081897593', '2188364476']"
peter dayan,"['1790646', '46902274', '49924736', '2065790871', '71047199', '95985433', '2065790839', '145591278', '2065790832', '2065790889', '2065790880', '2190758396', '2090548435', '81821899', '2102860968']"
adam charles,"['122688869', '2061016595', '144305878', '3943819', '120538270', '119211084', '2078291141', '94180561', '66784579', '2056357034', '102990580', '38692923', '2078204179', '145575913', '143855194', '47343640', '21600908', '119263507', '2056833162', '13872988', '2109449292', '73446656', '48185107', '34715343', '143855190', '97774412', '96615032', '2115202968', '2142618374', '107929351', '119505855', '2077348829', '48671233', '122622859', '101984282', '2058882114', '153507109', '51207139', '1397428443', '14116792', '80051313', '2069379716', '2723276', '2064233012', '1484716304', '34841844', '73681721', '73567754', '94425205', '48996079', '83360346', '1582016381', '46693962', '2073123240', '2055845255', '93531232', '103663236', '2069742769', '37340943', '143753161', '1382328749', '4951292', '145928077', '47080190', '5169129', '47765335', '87403692', '2093373329', '145519682', '148034181', '98506076', '31856449', '2005033926', '40402082', '5016700', '103891773', '46597817', '89619404', '2052380774', '2072898562', '2058538326', '143958584', '119749770', '47355064', '2056356628', '73919685', '2090390325', '119944727', '1759665838', '2059754012', '2056356321', '116912204', '20621792', '2055286605', '1666147820', '1832159663', '2058881547', '2056356875', '133732932', '2056356970']"
dan goodman,"['2084615040', '1866844', '2052148574', '2052148584', '98003727', '34613009', '49843561', '2052148518', '2076892044', '144462548', '31519886', '2052148601', '145258856', '1654675846', '26708623']"
ian charest,"['48704346', '2183803075']"
bernard marius 't hart,"['1400884009', '2059430556', '37045035', '2036351658', '1748895376', '71002616']"
jan drugowitsch,"['2980740', '2064846608']"
ruben moreno bote,"['1434764089', '1401845875', '2185035264']"
michael waskom,"['2440028', '2143875205', '2102145278']"
john cunningham,"['2086444226', '47729405', '2055014934', '2055015104', '2055015191', '2055015513', '144279932', '2055015453', '2055015183', '81660020', '153424159', '20700982', '2055015407', '2575774', '2055014992', '1397472879', '2002733', '2140409011', '88554227', '2055015084', '144279937', '2075423019', '143965211', '144279930', '145435873', '1885741', '143987023', '2055015324', '40224701', '49241429', '79225624', '39893056', '144201229', '144279927', '1400120676', '123847371', '2055015296', '2055015193', '103352573', '2055015577', '2055015376', '51972155', '2055015102', '143944137', '103261946', '32281732', '2055015294', '117959232', '2055015589', '2055015379', '2055015186', '81660016', '2075423146', '2075423118', '1475488021', '81660018', '96555759', '2055015630', '79225628', '2055015443', '92820499', '2196193764', '84656935', '50752087', '2075422867', '123847391', '143965209', '75143790', '2075422972', '47729554', '2058192814', '2055015144', '118412396', '3051340', '2113464681', '2979533', '2055015279', '144934865', '71044303', '134631427', '144279933', '2055015548', '50752130', '134631426', '2071520335', '71673240', '47729546', '47729446', '67301919', '2661122', '118412383', '2055015259', '2058475934', '2057121033', '145435861', '2055015438', '2055015066', '144279931', '2055015150', '2055015167']"
samuel j gershman,['1831199']
karl friston,"['70438543', '1737497', '72503110', '2138358863', '2059894927', '2155175724']"
rosalyn moran,"['39116315', '47430539', '145220670']"
chris mathys,"['1859583', '2157524433']"
carlos brody,"['1666982799', '145636368', '117336663']"
kenneth latimer,"['2262408', '37803665', '1929348', '2062716463']"
dmitry kobak,"['46409727', '2088233450', '104466831', '2210071818']"
sara a solla,['1759839']
marijn van vliet,"['2144114712', '1817120', '73774737', '1419693957', '1446736928']"
adam santoro,"['145811355', '49295158', '2057347076', '35030998']"
momchil tomov,['51173086']
richard gao,"['97941643', '2057938511', '1445128702', '32850847', '1996186744', '2057937940', '2057938434', '30177922', '1450450564', '49542709']"
stephen keeley,"['152738916', '115741311', '66540339', '115741307', '83433232']"
karolina stosio,['1396942547']
